strain	date
hCoV-19/HongKong/HK-HKPU-PUU038380527/2022	2022-05-25
hCoV-19/HongKong/HK-HKPU-PUU038168765/2022	2022-05-23
hCoV-19/HongKong/HK-HKPU-PUU038407476/2022	2022-05-21
hCoV-19/HongKong/HK-HKPU-PUU038367059/2022	2022-05-20
hCoV-19/HongKong/HK-HKPU-PUU038133015/2022	2022-05-20
hCoV-19/HongKong/HK-HKPU-PUU03832841A/2022	2022-05-19
hCoV-19/HongKong/HK-HKPU-PUU037442456/2022	2022-05-18
hCoV-19/HongKong/HK-HKPU-PUU037412573/2022	2022-05-18
hCoV-19/HongKong/HK-HKPU-PUU037351787/2022	2022-05-18
hCoV-19/HongKong/HK-HKPU-PUU037414215/2022	2022-05-18
hCoV-19/HongKong/HK-HKPU-PUU038414456/2022	2022-05-17
hCoV-19/HongKong/HK-HKPU-PUU038414758/2022	2022-05-17
hCoV-19/HongKong/HK-HKPU-PUU037417974/2022	2022-05-16
hCoV-19/HongKong/HK-HKPU-PUU037411186/2022	2022-05-16
hCoV-19/HongKong/HK-HKPU-PUU037454217/2022	2022-05-15
hCoV-19/HongKong/HK-HKPU-PUU037394192/2022	2022-05-15
hCoV-19/HongKong/HK-HKPU-PUU037378278/2022	2022-05-15
hCoV-19/HongKong/HK-HKPU-PUU037378529/2022	2022-05-15
hCoV-19/HongKong/HK-HKPU-PUU03736501A/2022	2022-05-15
hCoV-19/HongKong/HK-HKPU-PUU03723652A/2022	2022-05-15
hCoV-19/HongKong/HK-HKPU-PUU037393978/2022	2022-05-15
hCoV-19/HongKong/HK-HKPU-PUU03728270A/2022	2022-05-12
hCoV-19/HongKong/VZ22093928/2022	2022-05-19
hCoV-19/HongKong/VZ22093907/2022	2022-05-18
hCoV-19/HongKong/HK-HKPU-PUN525990057/2022	2022-08-03
hCoV-19/HongKong/HK-HKPU-PUN520265583/2022	2022-07-30
hCoV-19/HongKong/HK-HKPU-PUN383891712/2022	2022-07-01
hCoV-19/HongKong/HK-HKPU-PUN504985534/2022	2022-06-29
hCoV-19/HongKong/HK-HKPU-PUU044562569/2022	2022-06-24
hCoV-19/HongKong/HK-HKPU-PUU040183601/2022	2022-06-23
hCoV-19/HongKong/HK-HKPU-PUU040599611/2022	2022-06-19
hCoV-19/HongKong/HK-HKPU-PUN384301498/2022	2022-06-20
hCoV-19/HongKong/HK-HKPU-PUN384983726/2022	2022-06-20
hCoV-19/HongKong/HK-HKPU-PU22TM716105/2022	2022-06-21
hCoV-19/HongKong/HK-HKPU-PU22TM331218/2022	2022-06-20
hCoV-19/HongKong/HK-HKPU-PU22MB340941/2022	2022-06-19
hCoV-19/HongKong/HK-HKPU-PU22MB340724/2022	2022-06-18
hCoV-19/HongKong/HK-HKPU-PU22MC869939/2022	2022-06-17
hCoV-19/HongKong/HK-HKPU-PU22MB340139/2022	2022-06-16
hCoV-19/HongKong/HK-HKPU-PU22MB340080/2022	2022-06-16
hCoV-19/HongKong/HK-HKPU-PUN516800739/2022	2022-06-14
hCoV-19/HongKong/HK-HKPU-PUN685161970/2022	2022-06-09
hCoV-19/HongKong/HK-HKPU-PUN384323955/2022	2022-06-06
hCoV-19/HongKong/HK-HKPU-PUU040307475/2022	2022-06-16
hCoV-19/HongKong/HK-HKPU-PUU039113573/2022	2022-06-16
hCoV-19/HongKong/HK-HKPU-PU22TM715849/2022	2022-06-15
hCoV-19/HongKong/HK-HKPU-PU22MC868123/2022	2022-05-29
hCoV-19/HongKong/HK-HKPU-PU22TM715964/2022	2022-06-18
hCoV-19/HongKong/HK-HKPU-PUN512231454/2022	2022-06-09
